,symbol,full name,market,sector,sub-sector
206,D,บริษัท เดนทัล คอร์ปอเรชั่น จำกัด (มหาชน),mai,SERVICE,
207,DCC,บริษัท ไดนาสตี้เซรามิค จำกัด (มหาชน),SET,PROPCON,CONMAT
208,DCON,บริษัท ดีคอนโปรดักส์ จำกัด (มหาชน),SET,PROPCON,CONMAT
209,DDD,บริษัท ดู เดย์ ดรีม จำกัด (มหาชน),SET,CONSUMP,PERSON
210,DELTA,บริษัทเดลต้า อีเลคโทรนิคส์ (ประเทศไทย) จำกัด (มหาชน),SET,TECH,ETRON
211,DEMCO,บริษัท เด็มโก้ จำกัด (มหาชน),SET,RESOURC,ENERG
212,DEXON,บริษัท เด็กซ์ซอน เทคโนโลยี จำกัด (มหาชน),mai,SERVICE,
213,DHOUSE,บริษัท ดีเฮ้าส์พัฒนา จำกัด (มหาชน),mai,PROPCON,
214,DIMET,บริษัท ไดเมท (สยาม) จำกัด (มหาชน),mai,PROPCON,
215,DITTO,บริษัท ดิทโต้ (ประเทศไทย) จำกัด (มหาชน),SET,TECH,ICT
216,DMT,บริษัท ทางยกระดับดอนเมือง จำกัด (มหาชน),SET,SERVICE,TRANS
217,DOD,บริษัท ดีโอดี ไบโอเทค จำกัด (มหาชน),mai,CONSUMP,
218,DOHOME,บริษัท ดูโฮม จำกัด (มหาชน),SET,SERVICE,COMM
219,DPAINT,บริษัท สีเดลต้า จำกัด (มหาชน),mai,PROPCON,
220,DREIT,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าดุสิตธานี,SET,PROPCON,PF&REIT
221,DRT,บริษัท ผลิตภัณฑ์ตราเพชร จำกัด (มหาชน),SET,PROPCON,CONMAT
222,DTCENT,บริษัท ดี.ที.ซี. เอ็นเตอร์ไพรส์ จำกัด (มหาชน),SET,TECH,ICT
223,DTCI,บริษัท ดี.ที.ซี.อินดัสตรี่ส์ จำกัด (มหาชน),SET,CONSUMP,HOME
224,DUSIT,บริษัท ดุสิตธานี จำกัด (มหาชน),SET,SERVICE,TOURISM
225,DV8,บริษัท ดีวี8 จำกัด (มหาชน),mai,SERVICE,
226,EA,บริษัท พลังงานบริสุทธิ์ จำกัด (มหาชน),SET,RESOURC,ENERG
227,EASON,บริษัท อีซึ่น แอนด์ โค จำกัด (มหาชน),SET,INDUS,AUTO
228,EASTW,บริษัท จัดการและพัฒนาทรัพยากรน้ำภาคตะวันออก จำกัด (มหาชน),SET,RESOURC,ENERG
229,ECF,บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),mai,CONSUMP,
230,ECL,บริษัท ตะวันออกพาณิชย์ลีสซิ่ง จำกัด (มหาชน),SET,FINCIAL,FIN
231,EE,บริษัท อีเทอเนิล เอนเนอยี จำกัด (มหาชน),SET,AGRO,AGRI
232,EFORL,บริษัท อี ฟอร์ แอล เอม จำกัด (มหาชน),mai,CONSUMP,
233,EGCO,บริษัท ผลิตไฟฟ้า จำกัด (มหาชน),SET,RESOURC,ENERG
234,EKH,บริษัท เอกชัยการแพทย์ จำกัด (มหาชน),SET,SERVICE,HELTH
235,EMC,บริษัท อีเอ็มซี จำกัด (มหาชน),SET,PROPCON,CONS
236,EP,บริษัท อีสเทอร์น พาวเวอร์ กรุ๊ป จำกัด (มหาชน),SET,RESOURC,ENERG
237,EPG,บริษัท อีสเทิร์นโพลีเมอร์ กรุ๊ป จำกัด (มหาชน),SET,PROPCON,CONMAT
238,ERW,บริษัท ดิ เอราวัณ กรุ๊ป จำกัด (มหาชน),SET,SERVICE,TOURISM
239,ESTAR,บริษัท อีสเทอร์น สตาร์ เรียล เอสเตท จำกัด (มหาชน),SET,PROPCON,PROP
